lng,lat
120.3118737,30.1817338
120.2960271,30.1170061
120.1758905,30.3185751
120.3186968,30.1560782
120.3042107,30.1809782
120.3154978,30.1661379
120.304001,30.212365
120.2806538,30.241991
120.2935114,30.2336325
120.2826736,30.2412913
120.2547988,30.1146867
120.283492,30.2413147
120.2912488,30.1461482
120.3266607,30.1795089
120.2851992,30.1718435
120.0571881,30.3058025
120.3226338,30.1769975
120.282166,30.2410529
120.2799028,30.243119
120.2710104,30.2391495
120.3265167,30.1728359
120.3118845,30.183447
120.1989555,30.3343601
120.1968926,30.3332767
120.3319722,30.179518
120.2376241,30.2306046
120.3399308,30.1921911
120.2067014,30.3078508
120.2962332,30.2123718
120.2823646,30.2420503
120.2906342,30.2386045
120.1835043,30.1847521
120.1063442,30.3854346
120.3176719,30.195577
120.3010225,30.2239619
120.3071114,30.182693
120.3105929,30.1831705
120.316852,30.1803389
120.2879079,30.2278572
120.193331,30.164521
120.2837187,30.2413807
120.3565293,30.2075608
120.2835857,30.2412607
120.2885792,30.2680665
120.3282613,30.1801695
120.2859401,30.2328769
120.312288,30.2095646
120.3139072,30.2386847
120.3343393,30.2009811
120.3119297,30.1817928
120.3151344,30.2063595
120.295944,30.2104844
120.2894334,30.151348
120.2010765,30.2601051
120.2035017,30.3351814
120.3429494,30.2284428
120.2494018,30.3273315
120.2868916,30.1962049
120.3472616,30.2240104
120.3021779,30.1784579
120.2883067,30.242536
120.1957377,30.3319802
120.3360055,30.1847132
120.3266977,30.1762899
120.3003379,30.2190783
120.2869473,30.2429688
120.2895907,30.22756
120.2874399,30.2388282
120.1784687,30.3180486
120.2910712,30.2396475
120.2344361,30.211964
120.2886789,30.2304412
120.2923091,30.2122489
120.2150339,30.2514239
120.3589476,30.1654226
120.2826096,30.2414613
120.3089762,30.1553855
120.3056125,30.17142
120.283648,30.2404127
120.2789506,30.2632337
120.1919499,30.3372309
120.2877188,30.3063591
120.2690781,30.1870722
120.3451404,30.2005523
120.3204065,30.1807062
120.2910742,30.2390355
120.3090224,30.1833829
120.3138744,30.1910217
120.30364,30.334577
120.3192907,30.1906774
120.3128976,30.2282251
120.3060244,30.3616755
120.2724644,30.2225685
120.3204975,30.3403219
120.3429495,30.1689714
120.2735534,30.2182275
120.3255323,30.1988096
120.2494307,30.2376484
120.2831036,30.2348003
120.3076966,30.1826441
120.2823126,30.2414133
120.3559782,30.2075216
120.2749826,30.2412322
120.3027905,30.2136424
120.2878149,30.2425022
120.276693,30.2388796
120.3017569,30.3374085
120.1103461,30.3512318
120.3276953,30.1782015
120.3011433,30.2361537
120.3082129,30.2364695
120.331465,30.219988
120.2909932,30.2396295
120.2363521,30.2094386
120.3394672,30.1895225
120.3052945,30.170005
120.2733099,30.2083135
120.3545644,30.2067258
120.3121867,30.1826058
120.3083196,30.1822821
120.2938408,30.2361297
120.2904025,30.2361658
120.324161,30.1793622
120.2913819,30.2273509
120.2901806,30.1645104
120.2693599,30.210638
120.3123517,30.1646238
120.2759427,30.1695129
120.3265207,30.1814709
120.3372014,30.1957422
120.2885279,30.2271252
120.1984642,30.1879973
120.3160435,30.2630706
120.2810238,30.231414
120.2908152,30.2357155
120.3304276,30.1886224
120.2344983,30.210945
120.2909122,30.2393115
120.3305416,30.1883564
120.2890319,30.2307412
120.3109203,30.1820686
120.332828,30.1795197
120.2879059,30.2415092
120.3590289,30.2472011
120.172491,30.1780129
120.2241024,30.2330871
120.3297265,30.1805512
120.2931512,30.2238911
120.2988679,30.2336343
120.3429316,30.2946349
120.2815793,30.1200726
120.2903455,30.2367548
120.3227551,30.1636753
120.2608894,30.2692446
120.2824402,30.2352569
120.2727518,30.147417
120.2454449,30.3576826
120.2695266,30.120992
120.2147091,30.2257171
120.2735468,30.124114
120.2621847,30.3522602
120.2945848,30.2232927
120.2888219,30.2113912
120.2885149,30.2365272
120.307043,30.1627076
120.2940908,30.2363507
120.2847967,30.2331825
120.2968994,30.2361598
120.2910472,30.2390465
120.2912022,30.2390625
120.282465,30.2053697
120.3432263,30.1674202
120.2981421,30.2401316
120.3566563,30.2187568
120.3262917,30.1807059
120.3186525,30.2159832
120.3383618,30.1930474
120.3537001,30.1399751
120.2874681,30.2307374
120.2889799,30.2307622
120.3127519,30.1812162
120.3458167,30.1745575
120.3319534,30.1706232
120.282902,30.2029407
120.296594,30.2353666
120.348665,30.167541
120.2853081,30.2313349
120.3036745,30.2055074
120.27701,30.2430806
120.2969254,30.2347948
120.2531317,30.265737
120.3423672,30.167648
120.333813,30.176004
120.3213881,30.1827777
120.2736132,30.2364663
120.3269673,30.2045115
120.2893297,30.233418
120.3397614,30.1955547
120.2844941,30.2432849
120.261224,30.2491614
120.2888799,30.2312202
120.333385,30.1794477
120.283502,30.2405697
120.2448049,30.2053475
120.2817056,30.2413757
120.3409559,30.1966223
120.3046305,30.18968
120.2528696,30.2560418
120.3336664,30.1806079
120.2710402,30.1118594
120.2504557,30.1111545
120.3316722,30.190871
120.3342513,30.2004411
120.2880799,30.2310032
120.2876691,30.2309844
120.2970664,30.2371158
120.2903435,30.2367378
120.30653,30.210537
120.2987829,30.2332673
120.2067372,30.1866105
120.3154282,30.1833573
120.2882827,30.24252
120.276553,30.2470016
120.3148284,30.2160265
120.3307626,30.1830574
120.3054883,30.1805818
120.1073652,30.3848601
120.2883459,30.2284502
120.3256562,30.1771804
120.2875809,30.2455092
120.1945031,30.1826766
120.2856568,30.1507011
120.2796818,30.236379
120.3072736,30.2005971
120.2904765,30.2410588
120.2027634,30.1881707
120.3220156,30.2166553
120.2908832,30.2409925
120.3092064,30.1807899
120.2882637,30.242476
120.3304466,30.1886304
120.2882347,30.242586
